Key,Squad,O. Poss,O. Gls,O. Sh,O. SoT,O. SoT%,O. PKatt,O. CrdY,O. CrdR,O. Int,CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2018-World Cup-Saudi Arabia,Saudi Arabia,41,2.33,12,3.67,30.6,0,1,0,8.67,0.33,1,0,0,0,0
2019-AFC Asian Cup-Syria,Syria,42.7,1.67,12.3,4,32.4,0,2,0.33,11.7,2,1,0,0,0,0
2019-AFC Asian Cup-Thailand,Thailand,54,1.75,13.5,4.75,35.2,0.5,1.25,0,12.3,2,1,0,0,0,0
2019-AFC Asian Cup-Turkmenistan,Turkmenistan,64.7,3.33,21.3,8.33,39.1,0,2,0,7.33,1.67,1,0,0,0,0
2019-AFC Asian Cup-UAE,UAE,43.5,1.27,11.3,3.33,29.6,0,1.75,0,11.1,0.16,1,0,0,0,0
2019-AFC Asian Cup-Uzbekistan,Uzbekistan,51.8,0.7,14.4,5.81,40.3,0,1.16,0,10,1.16,1,0,0,0,0
2019-AFC Asian Cup-Vietnam,Vietnam,54.8,1.32,12.3,4.53,36.9,0.19,1.32,0,10.6,0.94,1,0,0,0,0
2019-AFC Asian Cup-Yemen,Yemen,64.7,3.33,14,6.33,45.2,0.33,0.67,0,8.67,2.67,1,0,0,0,0
2021-UEFA Euros-Austria,Austria,46.3,1.16,11.9,2.56,21.6,0.23,1.16,0,14,1.4,0,0,0,0,1
2016-UEFA Euros-Austria,Austria,46,1.33,16,5.33,33.3,0.33,2.33,0,15,2,0,0,0,0,1
2022-UEFA WCQ-Austria,Austria,37.5,1.73,8.64,3.91,45.3,0.09,1.91,0,12,1.27,0,0,0,0,1
2021-UEFA Euro Qualifiers-Austria,Austria,39,0.8,9,2.8,31.1,0,2.2,0.1,16.3,1.2,0,0,0,0,1
2021-UEFA Euros-Belgium,Belgium,46.4,0.6,14,3,21.4,0,1.6,0,14.8,0.8,0,0,0,0,1
2016-UEFA Euros-Belgium,Belgium,47.6,1,13,4.6,35.4,0,3,0,14.2,0.8,0,0,0,0,1
2018-World Cup-Belgium,Belgium,47.1,0.86,15.3,4.43,29,0,1.86,0,10.3,0.14,0,0,0,0,1
2022-UEFA WCQ-Belgium,Belgium,29.5,0.75,8.25,3,36.4,0,1.25,0,16.5,1.5,0,0,0,0,1
2021-UEFA Euro Qualifiers-Belgium,Belgium,34.6,0.3,6.2,1.8,29,0,1.8,0.1,12.9,0.5,0,0,0,0,1
2021-UEFA Euros-Croatia,Croatia,50.5,1.86,12.3,3.49,28.3,0.23,1.16,0,14,1.63,0,0,0,0,1
2016-UEFA Euros-Croatia,Croatia,51.3,0.93,8.84,2.56,28.9,0.47,1.16,0,18.6,1.86,0,0,0,0,1
2018-World Cup-Croatia,Croatia,43.4,1,10.5,3.13,29.8,0.25,1.5,0,8,0.5,0,0,0,0,1
2022-UEFA WCQ-Croatia,Croatia,33.7,0.3,6.1,1.9,31.1,0,1.7,0,13.5,1.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Croatia,Croatia,35.6,0.88,7.63,3.88,50.8,0,2,0.25,8.63,2,0,0,0,0,1
2021-UEFA Euros-Czech Republic,Czech Republic,52,0.8,10.6,3.2,30.2,0,0.6,0.2,20.4,1.4,0,0,0,0,1
2016-UEFA Euros-Czech Republic,Czech Republic,57.7,1.67,14.7,4,27.3,0,1.67,0,16.7,1.67,0,0,0,0,1
2022-UEFA WCQ-Czech Republic,Czech Republic,44.6,1.08,9.35,2.8,29.9,0,2.47,0.11,9.25,1.51,0,0,0,0,1
2021-UEFA Euro Qualifiers-Czech Republic,Czech Republic,47.5,1.25,8.25,3.63,43.9,0.25,2.38,0,9.63,1.75,0,0,0,0,1
2021-UEFA Euros-Denmark,Denmark,46.7,0.95,9.37,3.33,35.6,0.32,1.9,0.16,13,0.79,0,0,0,0,1
2018-World Cup-Denmark,Denmark,56.3,0.47,13.7,4.42,32.2,0.7,0.23,0,6.05,1.16,0,0,0,0,1
2022-UEFA WCQ-Denmark,Denmark,37.9,0.3,5.5,1.6,29.1,0,1.8,0.1,12.1,1,0,0,0,0,1
2021-UEFA Euro Qualifiers-Denmark,Denmark,38.8,0.75,8.38,2.38,28.4,0,2.25,0,9.88,0.75,0,0,0,0,1
2021-UEFA Euros-England,England,49.1,0.26,8.7,2.21,25.4,0,1.82,0,13,0.78,0,0,0,0,1
2016-UEFA Euros-England,England,38,1,6.5,2.75,42.3,0,1.25,0,17.8,0.5,0,0,0,0,1
2018-World Cup-England,England,45.6,1.04,10.6,2.99,28,0.13,2.08,0,7.53,0.26,0,0,0,0,1
2022-UEFA WCQ-England,England,26.7,0.3,3.7,1.3,35.1,0.1,3,0.1,9.6,1.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-England,England,35.8,0.75,8.13,3,36.9,0.13,1.5,0,10.9,0.75,0,0,0,0,1
2021-UEFA Euros-Finland,Finland,62.3,0.67,17.3,5,28.8,0.33,1,0,9.67,1.33,0,0,0,0,1
2022-UEFA WCQ-Finland,Finland,53.4,1.25,15.1,4.63,30.6,0.13,1.5,0.13,13.8,1.38,0,0,0,0,1
2021-UEFA Euro Qualifiers-Finland,Finland,47.4,1,13.7,3.9,28.5,0.2,2.1,0,12.8,1.1,0,0,0,0,1
2021-UEFA Euros-France,France,47.3,1.4,8.14,2.56,31.4,0.7,1.4,0,14,1.86,0,0,0,0,1
2016-UEFA Euros-France,France,45.6,0.68,9.45,2.33,24.6,0.27,2.6,0.14,12.5,0.55,0,0,0,0,1
2018-World Cup-France,France,51.4,0.86,9.57,2.43,25.4,0.14,2.43,0,9.71,0.43,0,0,0,0,1
2022-UEFA WCQ-France,France,39.9,0.38,5,1.5,30,0,1.5,0,9.88,1,0,0,0,0,1
2021-UEFA Euro Qualifiers-France,France,28.4,0.6,4.6,1.6,34.8,0.1,1.9,0,10.7,1.1,0,0,0,0,1
2021-UEFA Euros-Germany,Germany,37.8,1.5,6.25,2.5,40,0,1.5,0,13,1.75,0,0,0,0,1
2016-UEFA Euros-Germany,Germany,33.2,0.48,8.1,2.38,29.4,0.32,2.06,0,13.7,0.48,0,0,0,0,1
2018-World Cup-Germany,Germany,28,1.33,10.3,5,48.4,0,2.67,0,10.7,1,0,0,0,0,1
2022-UEFA WCQ-Germany,Germany,24.2,0.4,5.5,1.3,23.6,0.1,1.5,0.1,13.2,1.2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Germany,Germany,32.5,0.75,9.38,3.38,36,0.13,1.38,0,14.4,0.38,0,0,0,0,1
2021-UEFA Euros-Hungary,Hungary,70.3,2,15,5.33,35.6,0.33,1.33,0,13.7,2,0,0,0,0,1
2016-UEFA Euros-Hungary,Hungary,47.5,2,17,6.25,36.8,0.25,2.25,0.25,11.3,2,0,0,0,0,1
2022-UEFA WCQ-Hungary,Hungary,41.8,1.3,8.2,3.2,39,0.1,2.9,0,13,2.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Hungary,Hungary,50.2,1.3,11.6,4.8,41.4,0.1,2.4,0,11.7,2.3,0,0,0,0,1
2021-UEFA Euros-Italy,Italy,45.4,0.5,7.38,1.5,20.3,0.13,1.5,0.13,15.9,1.5,0,0,0,0,1
2016-UEFA Euros-Italy,Italy,55.2,0.38,11.3,2.83,25,0,1.7,0,12.1,1.89,0,0,0,0,1
2022-UEFA WCQ-Italy,Italy,32.9,0.33,5.67,1.78,31.4,0,2.33,0,10.3,1.33,0,0,0,0,1
2021-UEFA Euro Qualifiers-Italy,Italy,31.8,0.4,9.1,2.6,28.6,0.1,2.2,0.2,11.7,0.9,0,0,0,0,1
2021-UEFA Euros-N. Macedonia,N. Macedonia,58,2.67,14.3,7,48.8,0.33,0.67,0,15.3,2.67,0,0,0,0,1
2022-UEFA WCQ-N. Macedonia,N. Macedonia,48.6,1.08,11.1,3.42,30.8,0.08,2.33,0.08,10.7,2.25,0,0,0,0,1
2021-UEFA Euro Qualifiers-N. Macedonia,N. Macedonia,55.8,1,13.1,4.33,33.1,0.17,1.92,0.08,11.2,2.67,0,0,0,0,1
2021-UEFA Euros-Netherlands,Netherlands,45,1,10.3,3,29.3,0,2,0,14.5,0.75,0,0,0,0,1
2022-UEFA WCQ-Netherlands,Netherlands,27.4,0.8,5.7,1.4,24.6,0.1,2.6,0.1,12.2,1.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Netherlands,Netherlands,34.1,0.88,7.13,2.25,31.6,0.25,2,0,13.3,0.88,0,0,0,0,1
2021-UEFA Euros-Poland,Poland,50.7,1.67,11,3.67,33.3,0.33,1.33,0,14,2.67,0,0,0,0,1
2016-UEFA Euros-Poland,Poland,53.6,0.35,14.7,3.51,23.8,0,1.75,0,17.4,0.53,0,0,0,0,1
2018-World Cup-Poland,Poland,49.7,1.33,10.3,2.33,22.6,0,1,0,10,1,0,0,0,0,1
2022-UEFA WCQ-Poland,Poland,38.9,1,7.45,2.73,36.6,0.09,2.82,0.18,10.5,2.18,0,0,0,0,1
2021-UEFA Euro Qualifiers-Poland,Poland,45,0.5,11.4,3.1,27.2,0,2.5,0.2,10.3,1.5,0,0,0,0,1
2021-UEFA Euros-Portugal,Portugal,45.8,1.25,8.5,3.75,44.1,0.25,2.5,0,12.8,1,0,0,0,0,1
2016-UEFA Euros-Portugal,Portugal,47,0.63,9.38,3.25,34.7,0,2.5,0,12.6,0.75,0,0,0,0,1
2018-World Cup-Portugal,Portugal,46.3,1.5,11,3.25,29.5,0.25,1,0,13.8,0.25,0,0,0,0,1
2022-UEFA WCQ-Portugal,Portugal,40.8,0.7,7.6,2,26.3,0.1,2.6,0.2,13,2.1,0,0,0,0,1
2021-UEFA Euro Qualifiers-Portugal,Portugal,37,0.75,6.5,2.5,38.5,0.13,2.13,0.13,10.6,0.63,0,0,0,0,1
2021-UEFA Euros-Russia,Russia,57.3,2.33,12,4.67,38.9,0,1,0,13,1.67,0,0,0,0,1
2016-UEFA Euros-Russia,Russia,46,2,14.3,6.67,46.5,0,1,0,17.7,0.67,0,0,0,0,1
2018-World Cup-Russia,Russia,62.4,0.88,13.7,3.51,25.6,0.18,1.4,0,6.32,0.7,0,0,0,0,1
2022-UEFA WCQ-Russia,Russia,52.2,0.5,13.2,3.4,25.8,0,1.8,0,9.8,1.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Russia,Russia,37.1,0.8,6.9,2.5,36.2,0.1,1.6,0.1,10.6,0.8,0,0,0,0,1
2021-UEFA Euros-Scotland,Scotland,56,1.67,10,5,50,0,0.33,0,14.7,1,0,0,0,0,1
2022-UEFA WCQ-Scotland,Scotland,51,0.91,10.1,3.45,34.2,0.09,1.91,0,11.3,1.64,0,0,0,0,1
2021-UEFA Euro Qualifiers-Scotland,Scotland,49.1,1.5,11.7,4.33,37.2,0,1.73,0,10.2,1.34,0,0,0,0,1
2021-UEFA Euros-Slovakia,Slovakia,55,1.67,16,5,31.3,0.67,1.67,0.33,9,2,0,0,0,0,1
2016-UEFA Euros-Slovakia,Slovakia,56.5,1.5,19,5.5,28.9,0.25,0.75,0,14.8,1.75,0,0,0,0,1
2022-UEFA WCQ-Slovakia,Slovakia,43.3,0.9,9.2,3.2,34.8,0,2.2,0.3,11.9,1.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Slovakia,Slovakia,44.7,1.03,15.1,5.14,34,0,2.43,0.09,10.3,1.87,0,0,0,0,1
2021-UEFA Euros-Spain,Spain,27.3,0.71,5.43,2,36.8,0,1.86,0.14,18.4,0.86,0,0,0,0,1
2016-UEFA Euros-Spain,Spain,35,1,9.5,3.5,36.8,0,2.5,0,14.3,0.25,0,0,0,0,1
2018-World Cup-Spain,Spain,26,1.4,6.98,1.16,16.7,0.47,2.56,0,10.9,0.23,0,0,0,0,1
2022-UEFA WCQ-Spain,Spain,24,0.63,4.5,1.75,38.9,0.13,1.75,0.13,10.9,1,0,0,0,0,1
2021-UEFA Euro Qualifiers-Spain,Spain,25.4,0.5,5.9,2.4,40.7,0.2,1.1,0,10.9,1.6,0,0,0,0,1
2021-UEFA Euros-Sweden,Sweden,66,0.93,14,3.49,25,0,1.63,0,6.51,1.16,0,0,0,0,1
2016-UEFA Euros-Sweden,Sweden,47,1,12.7,5,39.5,0,2,0,11.7,1.33,0,0,0,0,1
2018-World Cup-Sweden,Sweden,62.4,0.8,14.6,2.6,17.8,0,2,0.4,6.8,1,0,0,0,0,1
2022-UEFA WCQ-Sweden,Sweden,51.7,0.78,10.3,3.69,35.8,0.1,3.01,0.19,11.2,2.43,0,0,0,0,1
2021-UEFA Euro Qualifiers-Sweden,Sweden,48.8,0.9,11,3.1,28.2,0.2,2.1,0,10.1,1,0,0,0,0,1
2021-UEFA Euros-Switzerland,Switzerland,52.2,1.4,17,5.26,30.9,0,1.4,0,11.1,1.93,0,0,0,0,1
2016-UEFA Euros-Switzerland,Switzerland,40.5,0.47,13,3.49,26.8,0.23,3.02,0.23,13,0.93,0,0,0,0,1
2018-World Cup-Switzerland,Switzerland,41.3,1,14.5,4,27.6,0.25,2.25,0,13.5,1.75,0,0,0,0,1
2022-UEFA WCQ-Switzerland,Switzerland,36.4,0.25,5.63,1.88,33.3,0.25,1.75,0.13,10.4,1.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Switzerland,Switzerland,36.6,0.75,8.13,2.75,33.8,0,2.38,0.13,11.6,1.38,0,0,0,0,1
2021-UEFA Euros-Turkey,Turkey,50,2.33,20.7,8.33,40.3,0.33,1,0,16.7,2.33,0,0,0,0,1
2016-UEFA Euros-Turkey,Turkey,54.7,1.33,17,6,35.3,0,1.67,0,13,2.33,0,0,0,0,1
2022-UEFA WCQ-Turkey,Turkey,43.5,1.64,11.7,4.18,35.7,0.18,2.36,0.18,10.5,2.64,0,0,0,0,1
2021-UEFA Euro Qualifiers-Turkey,Turkey,39.3,0.3,8.7,2.6,29.9,0,2.7,0,9.4,1.9,0,0,0,0,1
2021-UEFA Euros-Ukraine,Ukraine,51,1.89,12.8,4.53,35.3,0.19,0.75,0.19,11.9,0.75,0,0,0,0,1
2016-UEFA Euros-Ukraine,Ukraine,44.3,1.67,13,6,46.2,0,1.33,0,16.3,1.67,0,0,0,0,1
2022-UEFA WCQ-Ukraine,Ukraine,46.3,0.9,10.1,3.3,32.7,0.1,2.1,0,11.3,1.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Ukraine,Ukraine,44.6,0.5,12.4,4.25,34.3,0.25,2,0,10.6,1.5,0,0,0,0,1
2021-UEFA Euros-Wales,Wales,62.3,1.5,18.8,6,32,0,1.25,0,8.25,2.25,0,0,0,0,1
2016-UEFA Euros-Wales,Wales,53.2,1,13.7,4,29.3,0,2,0,13.2,0.5,0,0,0,0,1
2022-UEFA WCQ-Wales,Wales,51.9,0.9,9.2,2.9,31.5,0.2,2.1,0.1,10.6,1.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-Wales,Wales,56.4,0.63,9.5,3,31.6,0,3.88,0.13,8.25,2.63,0,0,0,0,1
2016-UEFA Euros-Albania,Albania,59.7,1,17.7,4,22.6,0,2,0,12.3,3,0,0,0,0,1
2022-UEFA WCQ-Albania,Albania,46.2,1.2,6.4,2.5,39.1,0,1.9,0,12.1,2.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-Albania,Albania,43.7,1.4,8.4,2.8,33.3,0.1,2.3,0,8.9,2,0,0,0,0,1
2016-UEFA Euros-Iceland,Iceland,68.2,1.6,18.8,6.4,34,0.4,1.2,0,10.8,2,0,0,0,0,1
2018-World Cup-Iceland,Iceland,67,1.67,19,4,21.1,0.33,1,0,6,1,0,0,0,0,1
2022-UEFA WCQ-Iceland,Iceland,51.9,1.8,14.2,5.1,35.9,0,2,0.1,9.4,2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Iceland,Iceland,55.7,1.17,10.8,3.42,31.5,0.17,2.58,0,11.3,1.33,0,0,0,0,1
2016-UEFA Euros-Northern Ireland,Northern Ireland,67.3,0.5,17,4.5,26.5,0,1.5,0,10.3,0.5,0,0,0,0,1
2022-UEFA WCQ-Northern Ireland,Northern Ireland,55.4,0.88,11.1,4.13,37.1,0.25,1.75,0,9.38,2.25,0,0,0,0,1
2021-UEFA Euro Qualifiers-Northern Ireland,Northern Ireland,59.4,1.5,12.6,4.39,34.8,0,1.21,0,7.29,1.31,0,0,0,0,1
2016-UEFA Euros-Rep. of Ireland,Rep. of Ireland,58.3,1.25,13.5,4.75,35.2,0,2,0,10.3,1.25,0,0,0,0,1
2022-UEFA WCQ-Rep. of Ireland,Rep. of Ireland,52.8,1,14.4,4.88,33.9,0.13,2,0.13,10,2.38,0,0,0,0,1
2021-UEFA Euro Qualifiers-Rep. of Ireland,Rep. of Ireland,49.8,0.43,11.3,2.15,19,0.11,1.51,0,10.1,1.83,0,0,0,0,1
2016-UEFA Euros-Romania,Romania,55.7,1.33,16,5.67,35.4,0,2,0,15.3,3.33,0,0,0,0,1
2022-UEFA WCQ-Romania,Romania,47.7,0.8,11.4,3.9,34.2,0.1,2.4,0,12.3,1.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-Romania,Romania,50.2,1.45,12.3,4.27,34.8,0.18,1.64,0.09,10.5,1.36,0,0,0,0,1
2018-World Cup-Argentina,Argentina,34.8,2.25,9.75,3,30.8,0.5,2.25,0,18.8,1.5,0,0,0,1,0
2021-Copa America-Argentina,Argentina,51,0.41,8.22,2.33,28.3,0.14,2.88,0.14,10.8,2.47,0,0,0,1,0
2019-Copa America-Argentina,Argentina,51.3,1,6.17,2.17,35.1,0.33,3.17,0.17,11,0.33,0,0,0,1,0
2016-Copa America-Argentina,Argentina,37.2,0.32,5.08,2.38,46.9,0.16,3.65,0.32,14.6,0.16,0,0,0,1,0
2022-CONMEBOL WCQ-Argentina,Argentina,40.6,0.44,8.22,2.56,31.1,0.28,2.61,0.06,10.8,1.67,0,0,0,1,0
2018-World Cup-Brazil,Brazil,41.4,0.4,8.8,1.4,15.9,0,2.6,0,7.2,0.6,0,0,0,1,0
2021-Copa America-Brazil,Brazil,42.3,0.43,6.43,2.57,40,0,2.86,0,15.3,1.71,0,0,0,1,0
2019-Copa America-Brazil,Brazil,35.7,0.16,7.14,1.43,20,0.16,2.54,0.16,12.2,0.63,0,0,0,1,0
2016-Copa America-Brazil,Brazil,33,0.67,6,2.33,38.9,0,1.67,0,15.3,2,0,0,0,1,0
2022-CONMEBOL WCQ-Brazil,Brazil,40.1,0.28,7.78,2.28,29.3,0,3,0.22,11.8,1.94,0,0,0,1,0
2018-World Cup-Colombia,Colombia,49.5,0.7,10.9,2.56,23.4,0.47,1.4,0,13.5,0.7,0,0,0,1,0
2021-Copa America-Colombia,Colombia,51,0.82,8.63,2.47,28.6,0,2.47,0,14.1,2.6,0,0,0,1,0
2019-Copa America-Colombia,Colombia,49,0,9.3,2.79,30,0,2.33,0,14,1.63,0,0,0,1,0
2016-Copa America-Colombia,Colombia,51,0.79,8.25,2.38,28.8,0,2.7,0.32,12.7,0.48,0,0,0,1,0
2022-CONMEBOL WCQ-Colombia,Colombia,46.8,1.06,10.9,3.83,35.2,0.11,3,0.22,10.4,2.33,0,0,0,1,0
2018-World Cup-Costa Rica,Costa Rica,60.7,1.67,16,4.67,29.2,0,2.33,0,5.67,2,0,0,1,0,0
2016-Copa America-Costa Rica,Costa Rica,47.7,2,11.3,3.67,32.4,0.33,2,0,18.3,2,0,0,1,0,0
2021-Gold Cup-Costa Rica,Costa Rica,47.3,1,14.3,3.75,26.3,0,2,0.25,16.8,2,0,0,1,0,0
2019-Gold Cup-Costa Rica,Costa Rica,40.8,0.93,12.3,3.72,30.2,0.47,1.86,0,1.4,1.16,0,0,1,0,0
2017-Gold Cup-Costa Rica,Costa Rica,50,0.6,10.6,2.4,22.6,0,1.2,0.2,12.6,0.2,0,0,1,0,0
2018-World Cup-Egypt,Egypt,56.7,1.67,15.7,4.33,27.7,0.67,0.33,0,16,1.67,0,1,0,0,0
2021-Africa Cup of Nations-Egypt,Egypt,47.1,0.24,9.76,3.86,39.5,0.24,1.81,0,8.07,1.33,0,1,0,0,0
2019-Africa Cup of Nations-Egypt,Egypt,43.8,0.25,15.5,4.25,27.4,0,2,0,10.8,0.25,0,1,0,0,0
2017-Africa Cup of Nations-Egypt,Egypt,52.5,0.48,12.9,3.17,24.7,0,1.27,0,13,0.32,0,1,0,0,0
2018-World Cup-Mexico,Mexico,47.5,1.25,19,7.25,38.2,0.25,2.5,0,8,1.25,0,0,1,0,0
2016-Copa America-Mexico,Mexico,41.5,2.25,12.8,5.75,45.1,0,2.5,0.25,12.3,1,0,0,1,0,0
2021-Gold Cup-Mexico,Mexico,33.8,0.32,7.62,2.06,27.1,0,2.22,0,14.3,1.75,0,0,1,0,0
2019-Gold Cup-Mexico,Mexico,34.7,0.6,8.66,2.54,29.3,0.15,1.49,0,1.64,0.15,0,0,1,0,0
2017-Gold Cup-Mexico,Mexico,34.6,0.4,9.8,3,30.6,0,2.4,0,17.4,0.6,0,0,1,0,0
2018-World Cup-Morocco,Morocco,51,1,12.7,2.33,18.4,0,1.33,0,8,2.67,0,1,0,0,0
2021-Africa Cup of Nations-Morocco,Morocco,39.4,0.75,7.74,2.26,29.3,0,2.45,0,7.55,1.13,0,1,0,0,0
2019-Africa Cup of Nations-Morocco,Morocco,38.8,0.23,3.72,0.7,18.8,0,2.09,0.23,9.07,0.23,0,1,0,0,0
2017-Africa Cup of Nations-Morocco,Morocco,51,0.75,8.25,3.5,42.4,0,2,0.25,13.5,0,0,1,0,0,0
2018-World Cup-Nigeria,Nigeria,52.7,1,9,2.33,25.9,0.67,1.67,0,11.3,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Nigeria,Nigeria,48.3,0.5,6.5,2.25,34.6,0.25,0.5,0,10.3,0.75,0,1,0,0,0
2019-Africa Cup of Nations-Nigeria,Nigeria,50.7,0.86,9.71,2.86,29.4,0,2.14,0,10.7,0.29,0,1,0,0,0
2018-World Cup-Panama,Panama,64,3.67,13,5.67,43.6,0.67,2.33,0,10,3.67,0,0,1,0,0
2016-Copa America-Panama,Panama,65.7,3.33,15.7,6.67,42.6,0,2,0,9.67,4.33,0,0,1,0,0
2021-Gold Cup-Panama,Panama,41,2.33,11,6,54.5,0.33,1.67,0,11.7,1,0,0,1,0,0
2019-Gold Cup-Panama,Panama,49.5,1,6.5,2.25,34.6,0.75,1.5,0,0.5,0.5,0,0,1,0,0
2017-Gold Cup-Panama,Panama,48.5,0.5,11.3,3.75,33.3,0,1.75,0,15.8,0.75,0,0,1,0,0
2018-World Cup-Peru,Peru,49.7,0.67,13,3,23.1,0,2.67,0,13.3,1.67,0,0,0,1,0
2021-Copa America-Peru,Peru,51.4,1.78,13.3,5.89,44.3,0.14,1.64,0.14,12.9,1.92,0,0,0,1,0
2019-Copa America-Peru,Peru,54.8,1.43,12.7,4.6,36.3,0.63,2.54,0.32,7.62,0.48,0,0,0,1,0
2016-Copa America-Peru,Peru,55.8,0.47,10.5,3.02,28.9,0,2.09,0.23,11.4,1.16,0,0,0,1,0
2022-CONMEBOL WCQ-Peru,Peru,54.7,1.22,12.7,3.67,28.9,0.17,2.22,0.17,11.1,2.28,0,0,0,1,0
2018-World Cup-Senegal,Senegal,58,1.33,7,2.67,38.1,0,1.33,0,8,2,0,1,0,0,0
2021-Africa Cup of Nations-Senegal,Senegal,42.1,0.27,7.12,1.64,23.1,0,1.64,0.27,10,1.64,0,1,0,0,0
2019-Africa Cup of Nations-Senegal,Senegal,40.7,0.27,7.53,1.78,23.6,0.14,2.88,0.27,7.26,0.55,0,1,0,0,0
2017-Africa Cup of Nations-Senegal,Senegal,48.8,0.47,12.6,3.26,25.9,0,1.86,0,10.9,1.16,0,1,0,0,0
2015-Africa Cup of Nations-Senegal,Senegal,41.7,1.33,8.67,3.33,38.5,0.33,1.67,0,15,1.67,0,1,0,0,0
2018-World Cup-Serbia,Serbia,57.3,1.33,14.7,5,34.1,0,1,0,9,3,0,0,0,0,1
2022-UEFA WCQ-Serbia,Serbia,44.9,1,8.75,2.13,24.3,0.13,2.13,0.13,15.6,1.75,0,0,0,0,1
2021-UEFA Euro Qualifiers-Serbia,Serbia,47.1,1.78,13.6,4.39,32.2,0.09,1.5,0,11.1,1.5,0,0,0,0,1
