date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2013-02-06,Iraq,Indonesia,1.0,0.0,AFC Asian Cup qualification,Dubai,United Arab Emirates,True
2013-02-06,Jordan,Singapore,4.0,0.0,AFC Asian Cup qualification,Amman,Jordan,False
2013-02-06,Oman,Syria,1.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
2013-02-06,Qatar,Malaysia,2.0,0.0,AFC Asian Cup qualification,Doha,Qatar,False
2013-02-06,Saudi Arabia,China PR,2.0,1.0,AFC Asian Cup qualification,Dammam,Saudi Arabia,False
2013-02-06,Thailand,Kuwait,1.0,3.0,AFC Asian Cup qualification,Bangkok,Thailand,False
2013-02-06,Uzbekistan,Hong Kong,0.0,0.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
2013-02-06,Vietnam,United Arab Emirates,1.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2013-02-06,Yemen,Bahrain,0.0,2.0,AFC Asian Cup qualification,Sharjah,United Arab Emirates,True
2013-03-22,Bahrain,Qatar,1.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2013-03-22,China PR,Iraq,1.0,0.0,AFC Asian Cup qualification,Changsha,China PR,False
2013-03-22,Hong Kong,Vietnam,1.0,0.0,AFC Asian Cup qualification,Kowloon,Hong Kong,False
2013-03-22,Lebanon,Thailand,5.0,2.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2013-03-22,Malaysia,Yemen,2.0,1.0,AFC Asian Cup qualification,Shah Alam,Malaysia,False
2013-03-22,United Arab Emirates,Uzbekistan,2.0,1.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
2013-03-23,Indonesia,Saudi Arabia,1.0,2.0,AFC Asian Cup qualification,Jakarta,Indonesia,False
2013-03-26,Kuwait,Iran,1.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2013-08-14,Singapore,Oman,0.0,2.0,AFC Asian Cup qualification,Jalan Besar,Singapore,False
2013-08-15,Syria,Jordan,1.0,1.0,AFC Asian Cup qualification,Teheran,Iran,True
2013-10-13,Qatar,Yemen,6.0,0.0,AFC Asian Cup qualification,Doha,Qatar,False
2013-10-15,Hong Kong,United Arab Emirates,0.0,4.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
2013-10-15,Indonesia,China PR,1.0,1.0,AFC Asian Cup qualification,Jakarta,Indonesia,False
2013-10-15,Iran,Thailand,2.0,1.0,AFC Asian Cup qualification,Teheran,Iran,False
2013-10-15,Iraq,Saudi Arabia,0.0,2.0,AFC Asian Cup qualification,Amman,Jordan,True
2013-10-15,Jordan,Oman,0.0,0.0,AFC Asian Cup qualification,Amman,Jordan,False
2013-10-15,Lebanon,Kuwait,1.0,1.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2013-10-15,Malaysia,Bahrain,1.0,1.0,AFC Asian Cup qualification,Shah Alam,Malaysia,False
2013-10-15,Singapore,Syria,2.0,1.0,AFC Asian Cup qualification,Singapore,Singapore,False
2013-10-15,Uzbekistan,Vietnam,3.0,1.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
2013-11-15,Bahrain,Malaysia,1.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2013-11-15,China PR,Indonesia,1.0,0.0,AFC Asian Cup qualification,Xi'an,China PR,False
2013-11-15,Kuwait,Lebanon,0.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2013-11-15,Saudi Arabia,Iraq,2.0,1.0,AFC Asian Cup qualification,Dammam,Saudi Arabia,False
2013-11-15,Syria,Singapore,4.0,0.0,AFC Asian Cup qualification,Teheran,Iran,True
2013-11-15,Thailand,Iran,0.0,3.0,AFC Asian Cup qualification,Bangkok,Thailand,False
2013-11-15,United Arab Emirates,Hong Kong,4.0,0.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
2013-11-15,Vietnam,Uzbekistan,0.0,3.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2013-11-15,Yemen,Qatar,1.0,4.0,AFC Asian Cup qualification,al-Ain,United Arab Emirates,True
2013-11-19,Bahrain,Yemen,2.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2013-11-19,China PR,Saudi Arabia,0.0,0.0,AFC Asian Cup qualification,Xi'an,China PR,False
2013-11-19,Hong Kong,Uzbekistan,0.0,2.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
2013-11-19,Indonesia,Iraq,0.0,2.0,AFC Asian Cup qualification,Jakarta,Indonesia,False
2013-11-19,Kuwait,Thailand,3.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2013-11-19,Lebanon,Iran,1.0,4.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2013-11-19,Malaysia,Qatar,0.0,1.0,AFC Asian Cup qualification,Shah Alam,Malaysia,False
2013-11-19,Syria,Oman,0.0,1.0,AFC Asian Cup qualification,Teheran,Iran,True
2013-11-19,United Arab Emirates,Vietnam,5.0,0.0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
2014-01-31,Oman,Jordan,0.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
2014-02-04,Singapore,Jordan,1.0,3.0,AFC Asian Cup qualification,Singapore,Singapore,False
2014-03-03,Iran,Kuwait,3.0,2.0,AFC Asian Cup qualification,Karaj,Iran,False
2014-03-05,Iraq,China PR,3.0,1.0,AFC Asian Cup qualification,Sharjah,United Arab Emirates,True
2014-03-05,Jordan,Syria,2.0,1.0,AFC Asian Cup qualification,Amman,Jordan,False
2014-03-05,Oman,Singapore,3.0,1.0,AFC Asian Cup qualification,Muscat,Oman,False
2014-03-05,Qatar,Bahrain,0.0,0.0,AFC Asian Cup qualification,Doha,Qatar,False
2014-03-05,Saudi Arabia,Indonesia,1.0,0.0,AFC Asian Cup qualification,Dammam,Saudi Arabia,False
2014-03-05,Thailand,Lebanon,2.0,5.0,AFC Asian Cup qualification,Bangkok,Thailand,False
2014-03-05,Uzbekistan,United Arab Emirates,1.0,1.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
2014-03-05,Vietnam,Hong Kong,3.0,1.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2014-03-05,Yemen,Malaysia,1.0,2.0,AFC Asian Cup qualification,al-Ain,United Arab Emirates,True
2016-06-02,Laos,India,0.0,1.0,AFC Asian Cup qualification,Vientiane,Laos,False
2016-06-02,Malaysia,East Timor,3.0,0.0,AFC Asian Cup qualification,Johor Bahru,Malaysia,False
2016-06-02,Maldives,Yemen,0.0,2.0,AFC Asian Cup qualification,Malé,Maldives,False
2016-06-02,Tajikistan,Bangladesh,5.0,0.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
2016-06-06,Malaysia,East Timor,3.0,0.0,AFC Asian Cup qualification,Johor Bahru,Malaysia,False
2016-06-07,Bangladesh,Tajikistan,0.0,1.0,AFC Asian Cup qualification,Dhaka,Bangladesh,False
2016-06-07,Cambodia,Chinese Taipei,2.0,0.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
2016-06-07,India,Laos,6.0,1.0,AFC Asian Cup qualification,Guwahati,India,False
2016-06-07,Yemen,Maldives,2.0,0.0,AFC Asian Cup qualification,Doha,Qatar,True
2016-09-06,Bangladesh,Bhutan,0.0,0.0,AFC Asian Cup qualification,Dhaka,Bangladesh,False
2016-09-06,Maldives,Laos,4.0,0.0,AFC Asian Cup qualification,Malé,Maldives,False
2016-10-08,Chinese Taipei,East Timor,2.0,1.0,AFC Asian Cup qualification,Kaohsiung,Chinese Taipei,False
2016-10-10,Bhutan,Bangladesh,3.0,1.0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2016-10-11,Laos,Maldives,1.0,1.0,AFC Asian Cup qualification,Vientiane,Laos,False
2017-03-28,Afghanistan,Vietnam,1.0,1.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
2017-03-28,Bahrain,Singapore,0.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2017-03-28,Burma,India,0.0,1.0,AFC Asian Cup qualification,Rangoon,Burma,False
2017-03-28,Jordan,Cambodia,7.0,0.0,AFC Asian Cup qualification,Amman,Jordan,False
2017-03-28,Kyrgyzstan,Macau,1.0,0.0,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,False
2017-03-28,Lebanon,Hong Kong,2.0,0.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2017-03-28,Maldives,Palestine,0.0,3.0,AFC Asian Cup qualification,Malé,Maldives,False
2017-03-28,Oman,Bhutan,14.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
2017-03-28,Philippines,Nepal,4.0,1.0,AFC Asian Cup qualification,Manila,Philippines,False
2017-03-28,Yemen,Tajikistan,2.0,1.0,AFC Asian Cup qualification,Doha,Qatar,True
2017-06-10,Singapore,Chinese Taipei,1.0,2.0,AFC Asian Cup qualification,Kallang,Singapore,False
2017-06-13,Bhutan,Maldives,0.0,2.0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2017-06-13,Cambodia,Afghanistan,1.0,0.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
2017-06-13,Hong Kong,North Korea,1.0,1.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
2017-06-13,India,Kyrgyzstan,1.0,0.0,AFC Asian Cup qualification,Bangalore,India,False
2017-06-13,Macau,Burma,0.0,4.0,AFC Asian Cup qualification,Macau,Macau,False
2017-06-13,Malaysia,Lebanon,1.0,2.0,AFC Asian Cup qualification,Johor Bahru,Malaysia,False
2017-06-13,Nepal,Yemen,0.0,0.0,AFC Asian Cup qualification,Kathmandu,Nepal,False
2017-06-13,Palestine,Oman,2.0,1.0,AFC Asian Cup qualification,al-Ram,Palestine,False
2017-06-13,Tajikistan,Philippines,3.0,4.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
2017-06-13,Turkmenistan,Bahrain,1.0,2.0,AFC Asian Cup qualification,Daşoguz,Turkmenistan,False
2017-06-13,Vietnam,Jordan,0.0,0.0,AFC Asian Cup qualification,Ho Chi Minh City,Vietnam,False
2017-09-05,Bahrain,Chinese Taipei,5.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2017-09-05,Bhutan,Palestine,0.0,2.0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2017-09-05,Cambodia,Vietnam,1.0,2.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
2017-09-05,Jordan,Afghanistan,4.0,1.0,AFC Asian Cup qualification,Amman,Jordan,False
2017-09-05,North Korea,Lebanon,2.0,2.0,AFC Asian Cup qualification,P'yŏngyang,North Korea,False
2017-09-05,Macau,India,0.0,2.0,AFC Asian Cup qualification,Macau,Macau,False
2017-09-05,Malaysia,Hong Kong,1.0,1.0,AFC Asian Cup qualification,Paya Rumput,Malaysia,False
2017-09-05,Nepal,Tajikistan,1.0,2.0,AFC Asian Cup qualification,Lalitpur,Nepal,False
2017-09-05,Oman,Maldives,5.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
2017-09-05,Philippines,Yemen,2.0,2.0,AFC Asian Cup qualification,Bacolod,Philippines,False
2017-09-05,Singapore,Turkmenistan,1.0,1.0,AFC Asian Cup qualification,Kallang,Singapore,False
2017-10-10,Afghanistan,Jordan,3.0,3.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
2017-10-10,Burma,Kyrgyzstan,2.0,2.0,AFC Asian Cup qualification,Rangoon,Burma,False
2017-10-10,Hong Kong,Malaysia,2.0,0.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
2017-10-10,Lebanon,North Korea,5.0,0.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2017-10-10,Maldives,Oman,1.0,3.0,AFC Asian Cup qualification,Malé,Maldives,False
2017-10-10,Palestine,Bhutan,10.0,0.0,AFC Asian Cup qualification,Hebron,Palestine,False
2017-10-10,Chinese Taipei,Bahrain,2.0,1.0,AFC Asian Cup qualification,Taipei,Chinese Taipei,False
2017-10-10,Tajikistan,Nepal,3.0,0.0,AFC Asian Cup qualification,Hisor,Tajikistan,False
2017-10-10,Turkmenistan,Singapore,2.0,1.0,AFC Asian Cup qualification,Ashgabat,Turkmenistan,False
2017-10-10,Vietnam,Cambodia,5.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2017-10-10,Yemen,Philippines,1.0,1.0,AFC Asian Cup qualification,al-Wakrah,Qatar,True
2017-10-11,India,Macau,4.0,1.0,AFC Asian Cup qualification,Bangalore,India,False
2017-11-10,North Korea,Malaysia,4.0,1.0,AFC Asian Cup qualification,Buriram,Thailand,True
2017-11-13,Malaysia,North Korea,1.0,4.0,AFC Asian Cup qualification,Buriram,Thailand,True
2017-11-14,Bhutan,Oman,2.0,4.0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2017-11-14,Cambodia,Jordan,0.0,1.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
2017-11-14,Hong Kong,Lebanon,0.0,1.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
2017-11-14,India,Burma,2.0,2.0,AFC Asian Cup qualification,Margao,India,False
2017-11-14,Macau,Kyrgyzstan,3.0,4.0,AFC Asian Cup qualification,Macau,Macau,False
2017-11-14,Nepal,Philippines,0.0,0.0,AFC Asian Cup qualification,Lalitpur,Nepal,False
2017-11-14,Palestine,Maldives,8.0,1.0,AFC Asian Cup qualification,Jenin,Palestine,False
2017-11-14,Singapore,Bahrain,0.0,3.0,AFC Asian Cup qualification,Kallang,Singapore,False
2017-11-14,Tajikistan,Yemen,0.0,0.0,AFC Asian Cup qualification,Hisor,Tajikistan,False
2017-11-14,Turkmenistan,Chinese Taipei,2.0,1.0,AFC Asian Cup qualification,Balkanabat,Turkmenistan,False
2017-11-14,Vietnam,Afghanistan,0.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2018-03-22,Kyrgyzstan,Burma,5.0,1.0,AFC Asian Cup qualification,Incheon,South Korea,True
2018-03-27,Afghanistan,Cambodia,2.0,1.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
2018-03-27,Bahrain,Turkmenistan,4.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2018-03-27,Burma,Macau,1.0,0.0,AFC Asian Cup qualification,Rangoon,Burma,False
2018-03-27,Jordan,Vietnam,1.0,1.0,AFC Asian Cup qualification,Amman,Jordan,False
2018-03-27,North Korea,Hong Kong,2.0,0.0,AFC Asian Cup qualification,P'yŏngyang,North Korea,False
2018-03-27,Kyrgyzstan,India,2.0,1.0,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,False
2018-03-27,Lebanon,Malaysia,2.0,1.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2018-03-27,Maldives,Bhutan,7.0,0.0,AFC Asian Cup qualification,Malé,Maldives,False
2018-03-27,Oman,Palestine,1.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
2018-03-27,Philippines,Tajikistan,2.0,1.0,AFC Asian Cup qualification,Manila,Philippines,False
2018-03-27,Chinese Taipei,Singapore,1.0,0.0,AFC Asian Cup qualification,Taipei,Chinese Taipei,False
2018-03-27,Yemen,Nepal,2.0,1.0,AFC Asian Cup qualification,Doha,Qatar,True
