Key,Year,Competition,Squad,O. Age,O. Poss,MP
2022-es La Liga-Real Madrid,2022,es La Liga,Real Madrid,27.6,39.7,38
2022-es La Liga-Real Sociedad,2022,es La Liga,Real Sociedad,27.7,45.3,38
2022-fr Ligue 1-Reims,2022,fr Ligue 1,Reims,25.9,57.8,38
2022-fr Ligue 1-Rennes,2022,fr Ligue 1,Rennes,25.8,43.7,38
2022-it Serie A-Roma,2022,it Serie A,Roma,26.8,48.6,38
2022-fr Ligue 1-Saint-Étienne,2022,fr Ligue 1,Saint-Étienne,26.1,50.7,38
2022-it Serie A-Salernitana,2022,it Serie A,Salernitana,26.8,59,38
2022-it Serie A-Sampdoria,2022,it Serie A,Sampdoria,26.7,54.1,38
2022-it Serie A-Sassuolo,2022,it Serie A,Sassuolo,26.8,44.8,38
2022-es La Liga-Sevilla,2022,es La Liga,Sevilla,27.8,40.2,38
2022-eng Premier League-Southampton,2022,eng Premier League,Southampton,26.8,52.1,38
2022-it Serie A-Spezia,2022,it Serie A,Spezia,27,57.3,38
2022-fr Ligue 1-Strasbourg,2022,fr Ligue 1,Strasbourg,25.9,50.5,38
2022-de Bundesliga-Stuttgart,2022,de Bundesliga,Stuttgart,26.3,49.3,34
2022-it Serie A-Torino,2022,it Serie A,Torino,26.8,46.4,38
2022-eng Premier League-Tottenham,2022,eng Premier League,Tottenham,26.8,48,38
2022-fr Ligue 1-Troyes,2022,fr Ligue 1,Troyes,25.9,55.8,38
2022-it Serie A-Udinese,2022,it Serie A,Udinese,26.8,57.7,38
2022-de Bundesliga-Union Berlin,2022,de Bundesliga,Union Berlin,26.1,56.6,34
2022-es La Liga-Valencia,2022,es La Liga,Valencia,27.8,56.4,38
2022-it Serie A-Venezia,2022,it Serie A,Venezia,26.8,57.9,38
2022-es La Liga-Villarreal,2022,es La Liga,Villarreal,27.6,43,38
2022-eng Premier League-Watford,2022,eng Premier League,Watford,26.8,59.7,38
2022-eng Premier League-West Ham,2022,eng Premier League,West Ham,26.8,52.2,38
2022-de Bundesliga-Wolfsburg,2022,de Bundesliga,Wolfsburg,26.3,49.4,34
2022-eng Premier League-Wolves,2022,eng Premier League,Wolves,26.7,50.4,38
2021-es La Liga-Alavés,2021,es La Liga,Alavés,27.5,57.3,38
2021-fr Ligue 1-Angers,2021,fr Ligue 1,Angers,26,53.8,38
2021-de Bundesliga-Arminia,2021,de Bundesliga,Arminia,25.9,57.8,34
2021-eng Premier League-Arsenal,2021,eng Premier League,Arsenal,26.7,46.2,38
2021-eng Premier League-Aston Villa,2021,eng Premier League,Aston Villa,26.7,51.9,38
2021-it Serie A-Atalanta,2021,it Serie A,Atalanta,27,45.1,38
2021-es La Liga-Athletic Club,2021,es La Liga,Athletic Club,27.6,50.2,38
2021-es La Liga-Atlético Madrid,2021,es La Liga,Atlético Madrid,27.5,47.6,38
2021-de Bundesliga-Augsburg,2021,de Bundesliga,Augsburg,26,58.7,34
2021-es La Liga-Barcelona,2021,es La Liga,Barcelona,27.4,34.2,38
2021-de Bundesliga-Bayern Munich,2021,de Bundesliga,Bayern Munich,25.9,38.9,34
2021-it Serie A-Benevento,2021,it Serie A,Benevento,27.2,57.7,38
2021-es La Liga-Betis,2021,es La Liga,Betis,27.4,46.1,38
2021-it Serie A-Bologna,2021,it Serie A,Bologna,27.3,49.1,38
2021-fr Ligue 1-Bordeaux,2021,fr Ligue 1,Bordeaux,25.8,50.3,38
2021-fr Ligue 1-Brest,2021,fr Ligue 1,Brest,26,50.7,38
2021-eng Premier League-Brighton,2021,eng Premier League,Brighton,26.4,48.7,38
2021-eng Premier League-Burnley,2021,eng Premier League,Burnley,26.6,58.3,38
2021-es La Liga-Cádiz,2021,es La Liga,Cádiz,27.5,65.7,38
2021-it Serie A-Cagliari,2021,it Serie A,Cagliari,27.3,55.4,38
2021-es La Liga-Celta Vigo,2021,es La Liga,Celta Vigo,27.4,46.3,38
2021-eng Premier League-Chelsea,2021,eng Premier League,Chelsea,26.3,38.6,38
2021-it Serie A-Crotone,2021,it Serie A,Crotone,27.1,53.6,38
2021-eng Premier League-Crystal Palace,2021,eng Premier League,Crystal Palace,26.4,59.9,38
2021-fr Ligue 1-Dijon,2021,fr Ligue 1,Dijon,26,53.8,38
2021-de Bundesliga-Dortmund,2021,de Bundesliga,Dortmund,26,40.2,34
2021-es La Liga-Eibar,2021,es La Liga,Eibar,27.5,50.4,38
2021-de Bundesliga-Eint Frankfurt,2021,de Bundesliga,Eint Frankfurt,25.8,46,34
2021-es La Liga-Elche,2021,es La Liga,Elche,27.4,52.4,38
2021-eng Premier League-Everton,2021,eng Premier League,Everton,26.4,53.5,38
2021-it Serie A-Fiorentina,2021,it Serie A,Fiorentina,27.4,53.8,38
2021-de Bundesliga-Freiburg,2021,de Bundesliga,Freiburg,26,53,34
2021-eng Premier League-Fulham,2021,eng Premier League,Fulham,26.6,50.1,38
2021-it Serie A-Genoa,2021,it Serie A,Genoa,27.2,55.3,38
2021-es La Liga-Getafe,2021,es La Liga,Getafe,27.4,57.2,38
2021-es La Liga-Granada,2021,es La Liga,Granada,27.6,59,38
2021-it Serie A-Hellas Verona,2021,it Serie A,Hellas Verona,27,50.2,38
2021-de Bundesliga-Hertha BSC,2021,de Bundesliga,Hertha BSC,26.1,50.6,34
2021-de Bundesliga-Hoffenheim,2021,de Bundesliga,Hoffenheim,26,48.9,34
2021-es La Liga-Huesca,2021,es La Liga,Huesca,27.3,51.7,38
2021-it Serie A-Inter,2021,it Serie A,Inter,26.9,47.6,38
2021-it Serie A-Juventus,2021,it Serie A,Juventus,27,42.9,38
2021-de Bundesliga-Köln,2021,de Bundesliga,Köln,26.2,53.7,36
2021-it Serie A-Lazio,2021,it Serie A,Lazio,26.9,46.9,38
2021-eng Premier League-Leeds United,2021,eng Premier League,Leeds United,26.5,42.4,38
2021-eng Premier League-Leicester City,2021,eng Premier League,Leicester City,26.5,45.4,38
2021-fr Ligue 1-Lens,2021,fr Ligue 1,Lens,26,48.6,38
2021-es La Liga-Levante,2021,es La Liga,Levante,27.4,47.6,38
2021-de Bundesliga-Leverkusen,2021,de Bundesliga,Leverkusen,25.9,40.1,34
2021-fr Ligue 1-Lille,2021,fr Ligue 1,Lille,26.2,46.1,38
2021-eng Premier League-Liverpool,2021,eng Premier League,Liverpool,26.6,37.6,38
2021-fr Ligue 1-Lorient,2021,fr Ligue 1,Lorient,25.8,55.4,38
2021-fr Ligue 1-Lyon,2021,fr Ligue 1,Lyon,26.3,45.1,38
2021-de Bundesliga-M'Gladbach,2021,de Bundesliga,M'Gladbach,25.6,48.1,34
2021-de Bundesliga-Mainz 05,2021,de Bundesliga,Mainz 05,25.9,59.5,34
2021-eng Premier League-Manchester City,2021,eng Premier League,Manchester City,26.4,36.1,38
2021-eng Premier League-Manchester Utd,2021,eng Premier League,Manchester Utd,26.6,44.2,38
2021-fr Ligue 1-Marseille,2021,fr Ligue 1,Marseille,25.8,46.1,38
2021-fr Ligue 1-Metz,2021,fr Ligue 1,Metz,26.3,54.7,38
2021-it Serie A-Milan,2021,it Serie A,Milan,27.4,48.1,38
2021-fr Ligue 1-Monaco,2021,fr Ligue 1,Monaco,26.2,44,38
2021-fr Ligue 1-Montpellier,2021,fr Ligue 1,Montpellier,25.9,54.7,38
2021-fr Ligue 1-Nantes,2021,fr Ligue 1,Nantes,26,56.3,40
2021-it Serie A-Napoli,2021,it Serie A,Napoli,27.1,44.8,38
2021-eng Premier League-Newcastle Utd,2021,eng Premier League,Newcastle Utd,26.6,61.8,38
2021-fr Ligue 1-Nice,2021,fr Ligue 1,Nice,26.1,45.5,38
2021-fr Ligue 1-Nîmes,2021,fr Ligue 1,Nîmes,25.9,55.6,38
2021-es La Liga-Osasuna,2021,es La Liga,Osasuna,27.4,56.9,38
2021-fr Ligue 1-Paris S-G,2021,fr Ligue 1,Paris S-G,25.9,36.5,38
2021-it Serie A-Parma,2021,it Serie A,Parma,27.1,52.3,38
2021-de Bundesliga-RB Leipzig,2021,de Bundesliga,RB Leipzig,26.1,40,34
2021-es La Liga-Real Madrid,2021,es La Liga,Real Madrid,27.5,40.3,38
2021-es La Liga-Real Sociedad,2021,es La Liga,Real Sociedad,27.4,44.9,38
2021-fr Ligue 1-Reims,2021,fr Ligue 1,Reims,26,55.2,38
2021-fr Ligue 1-Rennes,2021,fr Ligue 1,Rennes,26.1,40.5,38
2021-it Serie A-Roma,2021,it Serie A,Roma,27.3,47.5,38
2021-fr Ligue 1-Saint-Étienne,2021,fr Ligue 1,Saint-Étienne,25.8,51.7,38
2021-it Serie A-Sampdoria,2021,it Serie A,Sampdoria,27.1,54.9,38
2021-it Serie A-Sassuolo,2021,it Serie A,Sassuolo,27.2,39.2,38
2021-de Bundesliga-Schalke 04,2021,de Bundesliga,Schalke 04,26,55.4,34
2021-es La Liga-Sevilla,2021,es La Liga,Sevilla,27.3,38.8,38
2021-eng Premier League-Sheffield Utd,2021,eng Premier League,Sheffield Utd,26.7,58.5,38
2021-eng Premier League-Southampton,2021,eng Premier League,Southampton,26.5,47.8,38
2021-it Serie A-Spezia,2021,it Serie A,Spezia,27.3,47.8,38
2021-fr Ligue 1-Strasbourg,2021,fr Ligue 1,Strasbourg,26.1,54.4,38
2021-de Bundesliga-Stuttgart,2021,de Bundesliga,Stuttgart,26.1,48.5,34
2021-it Serie A-Torino,2021,it Serie A,Torino,27.1,52.8,38
2021-eng Premier League-Tottenham,2021,eng Premier League,Tottenham,26.5,48.3,38
2021-it Serie A-Udinese,2021,it Serie A,Udinese,27.1,53.9,38
2021-de Bundesliga-Union Berlin,2021,de Bundesliga,Union Berlin,26,55.1,34
2021-es La Liga-Valencia,2021,es La Liga,Valencia,27.6,53.1,38
2021-es La Liga-Valladolid,2021,es La Liga,Valladolid,27.4,54.9,38
2021-es La Liga-Villarreal,2021,es La Liga,Villarreal,27.5,44.4,38
2021-de Bundesliga-Werder Bremen,2021,de Bundesliga,Werder Bremen,26,56.2,34
2021-eng Premier League-West Brom,2021,eng Premier League,West Brom,26.6,62.4,38
2021-eng Premier League-West Ham,2021,eng Premier League,West Ham,26.6,57.1,38
2021-de Bundesliga-Wolfsburg,2021,de Bundesliga,Wolfsburg,26.1,48.6,34
2021-eng Premier League-Wolves,2021,eng Premier League,Wolves,26.6,50.7,38
2020-es La Liga-Alavés,2020,es La Liga,Alavés,27.3,58.9,38
2020-fr Ligue 1-Amiens,2020,fr Ligue 1,Amiens,26,54.5,28
2020-fr Ligue 1-Angers,2020,fr Ligue 1,Angers,26.2,54.9,28
2020-eng Premier League-Arsenal,2020,eng Premier League,Arsenal,26.6,46,38
2020-eng Premier League-Aston Villa,2020,eng Premier League,Aston Villa,26.6,56.1,38
2020-it Serie A-Atalanta,2020,it Serie A,Atalanta,27,42.2,38
2020-es La Liga-Athletic Club,2020,es La Liga,Athletic Club,27.1,51.3,38
2020-es La Liga-Atlético Madrid,2020,es La Liga,Atlético Madrid,27.4,51.5,38
2020-de Bundesliga-Augsburg,2020,de Bundesliga,Augsburg,25.9,61.9,34
2020-es La Liga-Barcelona,2020,es La Liga,Barcelona,27,33.1,38
2020-de Bundesliga-Bayern Munich,2020,de Bundesliga,Bayern Munich,26,34.4,34
2020-es La Liga-Betis,2020,es La Liga,Betis,27,42.9,38
2020-it Serie A-Bologna,2020,it Serie A,Bologna,26.9,47.1,38
2020-fr Ligue 1-Bordeaux,2020,fr Ligue 1,Bordeaux,25.9,46.1,28
2020-eng Premier League-Bournemouth,2020,eng Premier League,Bournemouth,26.8,56.2,38
2020-it Serie A-Brescia,2020,it Serie A,Brescia,27.1,59.7,38
2020-fr Ligue 1-Brest,2020,fr Ligue 1,Brest,26.2,50.3,28
2020-eng Premier League-Brighton,2020,eng Premier League,Brighton,26.5,47.8,38
2020-eng Premier League-Burnley,2020,eng Premier League,Burnley,26.5,58.6,38
2020-it Serie A-Cagliari,2020,it Serie A,Cagliari,27,54.5,38
2020-es La Liga-Celta Vigo,2020,es La Liga,Celta Vigo,27.2,48.1,38
2020-eng Premier League-Chelsea,2020,eng Premier League,Chelsea,26.4,39.3,38
2020-eng Premier League-Crystal Palace,2020,eng Premier League,Crystal Palace,26.5,55.5,38
2020-fr Ligue 1-Dijon,2020,fr Ligue 1,Dijon,26.1,53.5,28
2020-de Bundesliga-Dortmund,2020,de Bundesliga,Dortmund,26.2,39,34
2020-de Bundesliga-Düsseldorf,2020,de Bundesliga,Düsseldorf,26.1,54.6,34
2020-es La Liga-Eibar,2020,es La Liga,Eibar,27,53.7,38
2020-de Bundesliga-Eint Frankfurt,2020,de Bundesliga,Eint Frankfurt,25.8,49,34
2020-es La Liga-Espanyol,2020,es La Liga,Espanyol,27.3,52.7,38
2020-eng Premier League-Everton,2020,eng Premier League,Everton,26.6,50.8,38
2020-it Serie A-Fiorentina,2020,it Serie A,Fiorentina,27.1,52.7,38
2020-de Bundesliga-Freiburg,2020,de Bundesliga,Freiburg,26,52.1,34
2020-it Serie A-Genoa,2020,it Serie A,Genoa,26.9,50.5,38
2020-es La Liga-Getafe,2020,es La Liga,Getafe,27.2,55.4,38
2020-es La Liga-Granada,2020,es La Liga,Granada,27.4,56.3,38
2020-it Serie A-Hellas Verona,2020,it Serie A,Hellas Verona,27,50.2,38
2020-de Bundesliga-Hertha BSC,2020,de Bundesliga,Hertha BSC,26.1,55.3,34
2020-de Bundesliga-Hoffenheim,2020,de Bundesliga,Hoffenheim,26.1,48.1,34
2020-it Serie A-Inter,2020,it Serie A,Inter,26.8,45.8,38
2020-it Serie A-Juventus,2020,it Serie A,Juventus,26.7,41.7,38
2020-de Bundesliga-Köln,2020,de Bundesliga,Köln,26,53.3,34
2020-it Serie A-Lazio,2020,it Serie A,Lazio,26.9,49.5,38
2020-it Serie A-Lecce,2020,it Serie A,Lecce,26.9,55.4,38
2020-es La Liga-Leganés,2020,es La Liga,Leganés,27.2,56.2,38
2020-eng Premier League-Leicester City,2020,eng Premier League,Leicester City,26.6,42.4,38
2020-es La Liga-Levante,2020,es La Liga,Levante,27.2,51.6,38
2020-de Bundesliga-Leverkusen,2020,de Bundesliga,Leverkusen,25.9,36.2,34
2020-fr Ligue 1-Lille,2020,fr Ligue 1,Lille,26.4,47,28
2020-eng Premier League-Liverpool,2020,eng Premier League,Liverpool,26.3,36.6,38
2020-fr Ligue 1-Lyon,2020,fr Ligue 1,Lyon,26.1,43.6,28
2020-de Bundesliga-M'Gladbach,2020,de Bundesliga,M'Gladbach,26,47.6,34
2020-de Bundesliga-Mainz 05,2020,de Bundesliga,Mainz 05,26,56.8,34
2020-es La Liga-Mallorca,2020,es La Liga,Mallorca,27.2,55.4,38
2020-eng Premier League-Manchester City,2020,eng Premier League,Manchester City,26.5,33.1,38
2020-eng Premier League-Manchester Utd,2020,eng Premier League,Manchester Utd,26.7,43.8,38
2020-fr Ligue 1-Marseille,2020,fr Ligue 1,Marseille,26.1,46,28
2020-fr Ligue 1-Metz,2020,fr Ligue 1,Metz,26.5,54.7,28
2020-it Serie A-Milan,2020,it Serie A,Milan,27.1,44.9,38
2020-fr Ligue 1-Monaco,2020,fr Ligue 1,Monaco,26.2,49.2,28
2020-fr Ligue 1-Montpellier,2020,fr Ligue 1,Montpellier,26.1,52.4,28
2020-fr Ligue 1-Nantes,2020,fr Ligue 1,Nantes,26.3,51.9,28
2020-it Serie A-Napoli,2020,it Serie A,Napoli,27,40.5,38
2020-eng Premier League-Newcastle Utd,2020,eng Premier League,Newcastle Utd,26.5,61.4,38
2020-fr Ligue 1-Nice,2020,fr Ligue 1,Nice,26.1,45,28
2020-fr Ligue 1-Nîmes,2020,fr Ligue 1,Nîmes,26,55.4,28
2020-eng Premier League-Norwich City,2020,eng Premier League,Norwich City,26.5,50.7,38
2020-es La Liga-Osasuna,2020,es La Liga,Osasuna,27,52.5,38
2020-de Bundesliga-Paderborn 07,2020,de Bundesliga,Paderborn 07,26.1,54.3,34
2020-fr Ligue 1-Paris S-G,2020,fr Ligue 1,Paris S-G,26.1,34.4,27
2020-it Serie A-Parma,2020,it Serie A,Parma,26.9,56.4,38
2020-de Bundesliga-RB Leipzig,2020,de Bundesliga,RB Leipzig,25.9,44.5,34
2020-es La Liga-Real Madrid,2020,es La Liga,Real Madrid,27,40.9,38
2020-es La Liga-Real Sociedad,2020,es La Liga,Real Sociedad,27.3,43.4,38
2020-fr Ligue 1-Reims,2020,fr Ligue 1,Reims,26,51.2,28
2020-fr Ligue 1-Rennes,2020,fr Ligue 1,Rennes,26.2,50.3,28
2020-it Serie A-Roma,2020,it Serie A,Roma,27,47.1,38
2020-fr Ligue 1-Saint-Étienne,2020,fr Ligue 1,Saint-Étienne,26,52,28
2020-it Serie A-Sampdoria,2020,it Serie A,Sampdoria,26.9,57.6,38
2020-it Serie A-Sassuolo,2020,it Serie A,Sassuolo,27,42.2,38
2020-de Bundesliga-Schalke 04,2020,de Bundesliga,Schalke 04,26.2,51,34
2020-es La Liga-Sevilla,2020,es La Liga,Sevilla,27.2,41.6,38
2020-eng Premier League-Sheffield Utd,2020,eng Premier League,Sheffield Utd,26.7,56.9,38
2020-eng Premier League-Southampton,2020,eng Premier League,Southampton,26.5,50.7,38
2020-it Serie A-SPAL,2020,it Serie A,SPAL,27,53.2,38
2020-fr Ligue 1-Strasbourg,2020,fr Ligue 1,Strasbourg,26,50.3,27
2020-it Serie A-Torino,2020,it Serie A,Torino,27,52.5,38
2020-eng Premier League-Tottenham,2020,eng Premier League,Tottenham,26.7,47.8,38
2020-fr Ligue 1-Toulouse,2020,fr Ligue 1,Toulouse,26.1,56,28
2020-it Serie A-Udinese,2020,it Serie A,Udinese,27.2,55.3,38
2020-de Bundesliga-Union Berlin,2020,de Bundesliga,Union Berlin,26.2,58.2,34
2020-es La Liga-Valencia,2020,es La Liga,Valencia,27.1,51.1,38
2020-es La Liga-Valladolid,2020,es La Liga,Valladolid,27.3,55.7,38
2020-es La Liga-Villarreal,2020,es La Liga,Villarreal,27.2,46.8,38
2020-eng Premier League-Watford,2020,eng Premier League,Watford,26.5,57.5,38
2020-de Bundesliga-Werder Bremen,2020,de Bundesliga,Werder Bremen,25.9,51.2,34
2020-eng Premier League-West Ham,2020,eng Premier League,West Ham,26.6,56,38
2020-de Bundesliga-Wolfsburg,2020,de Bundesliga,Wolfsburg,26.1,51.7,34
2020-eng Premier League-Wolves,2020,eng Premier League,Wolves,26.5,51.7,38
#N/A,2019,#N/A,s Alavés,26.9,57.3,38
2019-fr Ligue 1-Amiens,2019,fr Ligue 1,Amiens,26.1,53.7,38
2019-fr Ligue 1-Angers,2019,fr Ligue 1,Angers,25.8,57,38
2019-eng Premier League-Arsenal,2019,eng Premier League,Arsenal,26.8,42,38
2019-it Serie A-Atalanta,2019,it Serie A,Atalanta,26.9,42.2,38
2019-es La Liga-Athletic Club,2019,es La Liga,Athletic Club,27.2,49.9,38
2019-es La Liga-Atlético Madrid,2019,es La Liga,Atlético Madrid,27,50.6,38
2019-de Bundesliga-Augsburg,2019,de Bundesliga,Augsburg,25.8,53.4,34
2019-es La Liga-Barcelona,2019,es La Liga,Barcelona,26.8,35.8,38
2019-de Bundesliga-Bayern Munich,2019,de Bundesliga,Bayern Munich,25.6,34.5,34
2019-es La Liga-Betis,2019,es La Liga,Betis,26.8,38.3,38
2019-it Serie A-Bologna,2019,it Serie A,Bologna,26.7,55.3,38
2019-fr Ligue 1-Bordeaux,2019,fr Ligue 1,Bordeaux,25.8,49.9,38
2019-eng Premier League-Bournemouth,2019,eng Premier League,Bournemouth,26.8,53.2,38
2019-eng Premier League-Brighton,2019,eng Premier League,Brighton,26.8,57.4,38
2019-eng Premier League-Burnley,2019,eng Premier League,Burnley,26.7,58.8,38
2019-fr Ligue 1-Caen,2019,fr Ligue 1,Caen,26,56.1,38
2019-it Serie A-Cagliari,2019,it Serie A,Cagliari,26.9,50,38
2019-eng Premier League-Cardiff City,2019,eng Premier League,Cardiff City,26.7,64.4,38
2019-es La Liga-Celta Vigo,2019,es La Liga,Celta Vigo,26.9,48.3,38
2019-eng Premier League-Chelsea,2019,eng Premier League,Chelsea,26.8,37.2,38
2019-it Serie A-Chievo,2019,it Serie A,Chievo,27,56.9,38
2019-eng Premier League-Crystal Palace,2019,eng Premier League,Crystal Palace,26.7,55,38
2019-fr Ligue 1-Dijon,2019,fr Ligue 1,Dijon,25.8,52.1,38
2019-de Bundesliga-Dortmund,2019,de Bundesliga,Dortmund,25.7,42,34
2019-de Bundesliga-Düsseldorf,2019,de Bundesliga,Düsseldorf,25.8,56.9,34
2019-es La Liga-Eibar,2019,es La Liga,Eibar,26.8,45.9,38
2019-de Bundesliga-Eint Frankfurt,2019,de Bundesliga,Eint Frankfurt,26,52.7,34
2019-it Serie A-Empoli,2019,it Serie A,Empoli,27,52.1,38
2019-es La Liga-Espanyol,2019,es La Liga,Espanyol,26.8,50.5,38
2019-eng Premier League-Everton,2019,eng Premier League,Everton,26.8,48.5,38
2019-it Serie A-Fiorentina,2019,it Serie A,Fiorentina,27,49.3,38
2019-de Bundesliga-Freiburg,2019,de Bundesliga,Freiburg,25.8,55.8,34
2019-it Serie A-Frosinone,2019,it Serie A,Frosinone,27.1,58.9,38
2019-eng Premier League-Fulham,2019,eng Premier League,Fulham,26.8,51.4,38
2019-it Serie A-Genoa,2019,it Serie A,Genoa,26.9,56.9,38
2019-es La Liga-Getafe,2019,es La Liga,Getafe,26.8,59.2,38
2019-es La Liga-Girona,2019,es La Liga,Girona,27.1,52,38
2019-fr Ligue 1-Guingamp,2019,fr Ligue 1,Guingamp,26,56.1,38
2019-de Bundesliga-Hannover 96,2019,de Bundesliga,Hannover 96,25.8,53.7,34
