Key,Year,Competition,Squad,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2022-Big Five Euro-Newcastle Utd,2022,Big Five Euro,Newcastle Utd,1.97,0.08,12.7,11.3,10.9
2022-Big Five Euro-Nice,2022,Big Five Euro,Nice,1.55,0.08,12.7,15.4,11.7
2022-Big Five Euro-Norwich City,2022,Big Five Euro,Norwich City,1.63,0.05,12.1,14.2,9.79
2022-Big Five Euro-Osasuna,2022,Big Five Euro,Osasuna,1.92,0.03,14.6,14.3,8.79
2022-Big Five Euro-Paris S-G,2022,Big Five Euro,Paris S-G,1.95,0.13,9.82,19.1,13
2022-Big Five Euro-Rayo Vallecano,2022,Big Five Euro,Rayo Vallecano,2.89,0.08,15.8,14.2,11.6
2022-Big Five Euro-RB Leipzig,2022,Big Five Euro,RB Leipzig,2,0.12,11.6,16.9,10.8
2022-Big Five Euro-Real Madrid,2022,Big Five Euro,Real Madrid,2.16,0.08,11.4,14.7,11.3
2022-Big Five Euro-Real Sociedad,2022,Big Five Euro,Real Sociedad,2.5,0.05,13.8,14.6,11.8
2022-Big Five Euro-Reims,2022,Big Five Euro,Reims,2,0.16,12.5,15.5,10.1
2022-Big Five Euro-Rennes,2022,Big Five Euro,Rennes,1.92,0.05,11.5,15.8,9.89
2022-Big Five Euro-Roma,2022,Big Five Euro,Roma,2.79,0.21,14.2,14.7,10.4
2022-Big Five Euro-Saint-Étienne,2022,Big Five Euro,Saint-Étienne,1.82,0.03,12.4,16.4,13.4
2022-Big Five Euro-Salernitana,2022,Big Five Euro,Salernitana,2.58,0.21,13.5,11,10.2
2022-Big Five Euro-Sampdoria,2022,Big Five Euro,Sampdoria,2.16,0.05,14.1,15.1,8.55
2022-Big Five Euro-Sassuolo,2022,Big Five Euro,Sassuolo,2.18,0.16,12.7,14.6,10.4
2022-Big Five Euro-Sevilla,2022,Big Five Euro,Sevilla,2.58,0.11,13.4,14.6,9.82
2022-Big Five Euro-Southampton,2022,Big Five Euro,Southampton,1.68,0.03,12.6,13.9,11.1
2022-Big Five Euro-Spezia,2022,Big Five Euro,Spezia,2.24,0.05,14.4,14.8,11.3
2022-Big Five Euro-Strasbourg,2022,Big Five Euro,Strasbourg,2.05,0.11,13.3,15.8,9.13
2022-Big Five Euro-Stuttgart,2022,Big Five Euro,Stuttgart,1.71,0.06,11.6,15.6,12.6
2022-Big Five Euro-Torino,2022,Big Five Euro,Torino,2.53,0.18,17.7,11.4,8.66
2022-Big Five Euro-Tottenham,2022,Big Five Euro,Tottenham,2.18,0.16,12.2,16.1,11.1
2022-Big Five Euro-Troyes,2022,Big Five Euro,Troyes,2.34,0.18,11.9,16.4,10.9
2022-Big Five Euro-Udinese,2022,Big Five Euro,Udinese,2.82,0.16,15.8,13.9,11.7
2022-Big Five Euro-Union Berlin,2022,Big Five Euro,Union Berlin,1.53,0.09,13.2,14.3,7.74
2022-Big Five Euro-Valencia,2022,Big Five Euro,Valencia,3.5,0.18,18.2,10.8,11.2
2022-Big Five Euro-Venezia,2022,Big Five Euro,Venezia,2.08,0.08,14.5,14.4,11
2022-Big Five Euro-Villarreal,2022,Big Five Euro,Villarreal,2.58,0.08,13.8,16.5,11.4
2022-Big Five Euro-Watford,2022,Big Five Euro,Watford,1.68,0.03,13.8,12.6,12.6
2022-Big Five Euro-West Ham,2022,Big Five Euro,West Ham,1.29,0.08,9.53,12.9,9.42
2022-Big Five Euro-Wolfsburg,2022,Big Five Euro,Wolfsburg,1.94,0.06,12.8,15.9,10.6
2022-Big Five Euro-Wolves,2022,Big Five Euro,Wolves,2.37,0.08,11.6,15.4,11.3
2021-Big Five Euro-Alavés,2021,Big Five Euro,Alavés,2.11,0.08,14.1,9.16,8.76
2021-Big Five Euro-Angers,2021,Big Five Euro,Angers,1.92,0.08,12.1,11.9,14.2
2021-Big Five Euro-Arminia,2021,Big Five Euro,Arminia,1.85,0.06,12.1,9.65,9.62
2021-Big Five Euro-Arsenal,2021,Big Five Euro,Arsenal,1.95,0.05,10.5,10.1,9.74
2021-Big Five Euro-Aston Villa,2021,Big Five Euro,Aston Villa,1.92,0.18,13.2,10.3,9.74
2021-Big Five Euro-Atalanta,2021,Big Five Euro,Atalanta,2.29,0.11,16.1,13.7,13.5
2021-Big Five Euro-Athletic Club,2021,Big Five Euro,Athletic Club,2.11,0.13,13.8,11.9,8.92
2021-Big Five Euro-Atlético Madrid,2021,Big Five Euro,Atlético Madrid,1.55,0.08,13.5,11.5,9.97
2021-Big Five Euro-Augsburg,2021,Big Five Euro,Augsburg,1.59,0.03,12,11.2,10.8
2021-Big Five Euro-Barcelona,2021,Big Five Euro,Barcelona,2,0.16,9.97,13.9,10.6
2021-Big Five Euro-Bayern Munich,2021,Big Five Euro,Bayern Munich,1.47,0,9.79,13.9,11.9
2021-Big Five Euro-Benevento,2021,Big Five Euro,Benevento,2,0.16,14,8.61,8.21
2021-Big Five Euro-Betis,2021,Big Five Euro,Betis,2.18,0.05,14.6,10.2,10.2
2021-Big Five Euro-Bologna,2021,Big Five Euro,Bologna,2.21,0.03,14.6,11.3,10.7
2021-Big Five Euro-Bordeaux,2021,Big Five Euro,Bordeaux,1.74,0.08,12.5,9.87,12.8
2021-Big Five Euro-Brest,2021,Big Five Euro,Brest,2.05,0.13,13.1,10.5,9.74
2021-Big Five Euro-Brighton,2021,Big Five Euro,Brighton,1.34,0.05,12.8,11.4,8.82
2021-Big Five Euro-Burnley,2021,Big Five Euro,Burnley,0.84,0.05,12,7.82,7.42
2021-Big Five Euro-Cádiz,2021,Big Five Euro,Cádiz,2.29,0.11,12.1,7.76,8.87
2021-Big Five Euro-Cagliari,2021,Big Five Euro,Cagliari,2,0.13,14.6,10.5,9.79
2021-Big Five Euro-Celta Vigo,2021,Big Five Euro,Celta Vigo,2.68,0.16,18.4,11.1,9.08
2021-Big Five Euro-Chelsea,2021,Big Five Euro,Chelsea,1.47,0.08,13.1,11,10.9
2021-Big Five Euro-Crotone,2021,Big Five Euro,Crotone,2.37,0.13,14.7,10.2,10.8
2021-Big Five Euro-Crystal Palace,2021,Big Five Euro,Crystal Palace,1.16,0.11,12.4,10.8,10.8
2021-Big Five Euro-Dijon,2021,Big Five Euro,Dijon,1.42,0.03,13.8,11.4,12.3
2021-Big Five Euro-Dortmund,2021,Big Five Euro,Dortmund,1.82,0.03,11.3,14.7,11.3
2021-Big Five Euro-Eibar,2021,Big Five Euro,Eibar,1.74,0.05,13.6,9.5,9.37
2021-Big Five Euro-Eint Frankfurt,2021,Big Five Euro,Eint Frankfurt,1.88,0,15,13.3,10.7
2021-Big Five Euro-Elche,2021,Big Five Euro,Elche,2.08,0.05,14.9,9.76,10.8
2021-Big Five Euro-Everton,2021,Big Five Euro,Everton,1.74,0.03,12.2,11.3,10.3
2021-Big Five Euro-Fiorentina,2021,Big Five Euro,Fiorentina,2.13,0.05,14.3,8.71,11.8
2021-Big Five Euro-Freiburg,2021,Big Five Euro,Freiburg,1.59,0,14,9.32,9.47
2021-Big Five Euro-Fulham,2021,Big Five Euro,Fulham,1.05,0.03,14.5,10.5,11
2021-Big Five Euro-Genoa,2021,Big Five Euro,Genoa,1.82,0.03,15,9.29,10.9
2021-Big Five Euro-Getafe,2021,Big Five Euro,Getafe,2.79,0.16,17.1,9.29,9.58
2021-Big Five Euro-Granada,2021,Big Five Euro,Granada,2.74,0.16,15,8.68,10.2
2021-Big Five Euro-Hellas Verona,2021,Big Five Euro,Hellas Verona,2.13,0.05,17.1,11.7,9.95
2021-Big Five Euro-Hertha BSC,2021,Big Five Euro,Hertha BSC,2,0.09,14.3,10.5,11.5
2021-Big Five Euro-Hoffenheim,2021,Big Five Euro,Hoffenheim,1.38,0.06,14,11.9,10.6
2021-Big Five Euro-Huesca,2021,Big Five Euro,Huesca,1.68,0.05,15.2,8.71,10
2021-Big Five Euro-Inter,2021,Big Five Euro,Inter,2.21,0.08,13.1,12.6,7.97
2021-Big Five Euro-Juventus,2021,Big Five Euro,Juventus,2.24,0.05,14.8,12.1,9.42
2021-Big Five Euro-Köln,2021,Big Five Euro,Köln,1.97,0,13.5,11.3,9.97
2021-Big Five Euro-Lazio,2021,Big Five Euro,Lazio,2.29,0.08,14.3,11.4,10.4
2021-Big Five Euro-Leeds United,2021,Big Five Euro,Leeds United,1.29,0.05,14,13.7,9.82
2021-Big Five Euro-Leicester City,2021,Big Five Euro,Leicester City,1.61,0.03,12.6,13.1,10.9
2021-Big Five Euro-Lens,2021,Big Five Euro,Lens,2,0.18,14.1,10.7,10.9
2021-Big Five Euro-Levante,2021,Big Five Euro,Levante,2.29,0.18,14.5,11.7,10.8
2021-Big Five Euro-Leverkusen,2021,Big Five Euro,Leverkusen,1.47,0.09,13.2,13.1,13.4
2021-Big Five Euro-Lille,2021,Big Five Euro,Lille,2,0.18,13,13.6,13
2021-Big Five Euro-Liverpool,2021,Big Five Euro,Liverpool,1.47,0.05,11.4,13.4,10.7
2021-Big Five Euro-Lorient,2021,Big Five Euro,Lorient,2.03,0.16,12.6,11.8,11.5
2021-Big Five Euro-Lyon,2021,Big Five Euro,Lyon,2.03,0.21,12.8,13.4,11.9
2021-Big Five Euro-M'Gladbach,2021,Big Five Euro,M'Gladbach,2.21,0.09,12.5,13.3,10.1
2021-Big Five Euro-Mainz 05,2021,Big Five Euro,Mainz 05,2.15,0.12,15.2,11.3,9.24
2021-Big Five Euro-Manchester City,2021,Big Five Euro,Manchester City,1.61,0.05,10.6,11.2,12.1
2021-Big Five Euro-Manchester Utd,2021,Big Five Euro,Manchester Utd,1.68,0.08,13.6,14.5,11.8
2021-Big Five Euro-Marseille,2021,Big Five Euro,Marseille,2.13,0.16,14.1,11.5,10.8
2021-Big Five Euro-Metz,2021,Big Five Euro,Metz,2,0.16,14,9.42,12.9
2021-Big Five Euro-Milan,2021,Big Five Euro,Milan,2.18,0.11,14.4,11.2,9.82
2021-Big Five Euro-Monaco,2021,Big Five Euro,Monaco,2.34,0.32,13.2,11.3,11.8
2021-Big Five Euro-Montpellier,2021,Big Five Euro,Montpellier,2.08,0.11,14.1,9.13,10.9
2021-Big Five Euro-Nantes,2021,Big Five Euro,Nantes,2.32,0.08,13.9,10.1,12.5
2021-Big Five Euro-Napoli,2021,Big Five Euro,Napoli,2.82,0.16,11.2,12.6,9.11
2021-Big Five Euro-Newcastle Utd,2021,Big Five Euro,Newcastle Utd,1.58,0.08,11.9,9.16,9.76
2021-Big Five Euro-Nice,2021,Big Five Euro,Nice,1.74,0.03,12.4,12.3,12.7
2021-Big Five Euro-Nîmes,2021,Big Five Euro,Nîmes,2.29,0.24,11.4,10,11.7
2021-Big Five Euro-Osasuna,2021,Big Five Euro,Osasuna,1.71,0,15.3,9.61,9.47
2021-Big Five Euro-Paris S-G,2021,Big Five Euro,Paris S-G,1.55,0.24,12.6,14.1,13.2
2021-Big Five Euro-Parma,2021,Big Five Euro,Parma,1.87,0.03,15.2,9.61,9.45
2021-Big Five Euro-RB Leipzig,2021,Big Five Euro,RB Leipzig,1.88,0.06,13.3,14.8,11.7
2021-Big Five Euro-Real Madrid,2021,Big Five Euro,Real Madrid,2.29,0.08,11.6,9.95,10.1
2021-Big Five Euro-Real Sociedad,2021,Big Five Euro,Real Sociedad,2.39,0.16,15.4,9.76,9.53
2021-Big Five Euro-Reims,2021,Big Five Euro,Reims,1.53,0.08,12.4,11.2,10.8
2021-Big Five Euro-Rennes,2021,Big Five Euro,Rennes,1.84,0.16,13.8,12.8,11
2021-Big Five Euro-Roma,2021,Big Five Euro,Roma,2.11,0.16,15.7,12.1,9.08
2021-Big Five Euro-Saint-Étienne,2021,Big Five Euro,Saint-Étienne,2.03,0.03,14,10.4,13.1
2021-Big Five Euro-Sampdoria,2021,Big Five Euro,Sampdoria,2.03,0.03,14.4,11.2,8.32
2021-Big Five Euro-Sassuolo,2021,Big Five Euro,Sassuolo,2.16,0.11,14.2,11,10.7
2021-Big Five Euro-Schalke 04,2021,Big Five Euro,Schalke 04,1.74,0.06,13.1,11.2,12.3
2021-Big Five Euro-Sevilla,2021,Big Five Euro,Sevilla,2.87,0.03,13.9,10.1,9.34
2021-Big Five Euro-Sheffield Utd,2021,Big Five Euro,Sheffield Utd,1.03,0.03,15.3,8.26,9.5
2021-Big Five Euro-Southampton,2021,Big Five Euro,Southampton,1.53,0.08,12.7,11.5,11.6
2021-Big Five Euro-Spezia,2021,Big Five Euro,Spezia,2.18,0.08,16.1,11.6,8.37
2021-Big Five Euro-Strasbourg,2021,Big Five Euro,Strasbourg,1.79,0.05,13.3,9.76,9.63
2021-Big Five Euro-Stuttgart,2021,Big Five Euro,Stuttgart,2.03,0.09,13,13.4,13.7
2021-Big Five Euro-Torino,2021,Big Five Euro,Torino,2.66,0.16,16.5,8.66,9.87
2021-Big Five Euro-Tottenham,2021,Big Five Euro,Tottenham,2.03,0.03,13.3,12.2,12.1
2021-Big Five Euro-Udinese,2021,Big Five Euro,Udinese,2.21,0.11,14.5,11.7,10.2
2021-Big Five Euro-Union Berlin,2021,Big Five Euro,Union Berlin,1.88,0.06,13.9,11.1,9.15
2021-Big Five Euro-Valencia,2021,Big Five Euro,Valencia,2.61,0.13,13.2,9.08,9.68
2021-Big Five Euro-Valladolid,2021,Big Five Euro,Valladolid,2.53,0.05,14.3,9.74,9.89
2021-Big Five Euro-Villarreal,2021,Big Five Euro,Villarreal,2.05,0.11,12.3,10.4,10.5
2021-Big Five Euro-Werder Bremen,2021,Big Five Euro,Werder Bremen,2,0.09,12.7,12.3,9.26
2021-Big Five Euro-West Brom,2021,Big Five Euro,West Brom,1.32,0.03,12.7,8.74,10.7
2021-Big Five Euro-West Ham,2021,Big Five Euro,West Ham,1.37,0.03,11.4,10.3,8.74
2021-Big Five Euro-Wolfsburg,2021,Big Five Euro,Wolfsburg,1.79,0.06,13.7,12.6,10.4
2021-Big Five Euro-Wolves,2021,Big Five Euro,Wolves,1.63,0.16,12.6,9.87,9.76
2020-Big Five Euro-Alavés,2020,Big Five Euro,Alavés,2.29,0.08,16.9,5.63,9.29
2020-Big Five Euro-Amiens,2020,Big Five Euro,Amiens,1.54,0.04,14.4,8.11,13
2020-Big Five Euro-Angers,2020,Big Five Euro,Angers,1.68,0,11.6,9.11,11.5
2020-Big Five Euro-Arsenal,2020,Big Five Euro,Arsenal,2.08,0.03,12.8,7,10.5
2020-Big Five Euro-Aston Villa,2020,Big Five Euro,Aston Villa,2.37,0.18,13.3,5.87,9.24
2020-Big Five Euro-Atalanta,2020,Big Five Euro,Atalanta,2.79,0.18,14.7,7.34,11.6
2020-Big Five Euro-Athletic Club,2020,Big Five Euro,Athletic Club,2.34,0,15,5.76,9.5
2020-Big Five Euro-Atlético Madrid,2020,Big Five Euro,Atlético Madrid,2.97,0.11,14.5,6.05,9.95
2020-Big Five Euro-Augsburg,2020,Big Five Euro,Augsburg,1.88,0.09,11.6,6.59,10.8
2020-Big Five Euro-Barcelona,2020,Big Five Euro,Barcelona,2.34,0.11,11.6,11.3,10.6
2020-Big Five Euro-Bayern Munich,2020,Big Five Euro,Bayern Munich,1.68,0.09,9.5,10.7,12.1
2020-Big Five Euro-Betis,2020,Big Five Euro,Betis,2.92,0.13,13.3,6.05,10
2020-Big Five Euro-Bologna,2020,Big Five Euro,Bologna,2.74,0.18,16.7,7.45,12
2020-Big Five Euro-Bordeaux,2020,Big Five Euro,Bordeaux,2.32,0.29,13.6,8.29,12.9
2020-Big Five Euro-Bournemouth,2020,Big Five Euro,Bournemouth,1.76,0.08,11,6.71,10.8
2020-Big Five Euro-Brescia,2020,Big Five Euro,Brescia,2.79,0.05,13.3,7.18,9.68
2020-Big Five Euro-Brest,2020,Big Five Euro,Brest,1.43,0.04,11.9,8.39,11.4
2020-Big Five Euro-Brighton,2020,Big Five Euro,Brighton,1.61,0.03,12,8.32,11.5
2020-Big Five Euro-Burnley,2020,Big Five Euro,Burnley,1.11,0.08,13,4.89,8.76
2020-Big Five Euro-Cagliari,2020,Big Five Euro,Cagliari,2,0.16,14.4,6.18,9.82
2020-Big Five Euro-Celta Vigo,2020,Big Five Euro,Celta Vigo,3.13,0.13,13.5,6.53,10.7
2020-Big Five Euro-Chelsea,2020,Big Five Euro,Chelsea,2,0.08,11.2,7.37,11.3
2020-Big Five Euro-Crystal Palace,2020,Big Five Euro,Crystal Palace,2.32,0.13,12.7,7.5,12.1
2020-Big Five Euro-Dijon,2020,Big Five Euro,Dijon,1.57,0.11,13.2,8.39,14.9
2020-Big Five Euro-Dortmund,2020,Big Five Euro,Dortmund,1.56,0.03,9.53,11.1,13.4
2020-Big Five Euro-Düsseldorf,2020,Big Five Euro,Düsseldorf,1.88,0.15,12.8,7.09,9.91
2020-Big Five Euro-Eibar,2020,Big Five Euro,Eibar,1.84,0.05,13.9,4.63,9.21
2020-Big Five Euro-Eint Frankfurt,2020,Big Five Euro,Eint Frankfurt,1.97,0.18,13.1,7.82,10.4
2020-Big Five Euro-Espanyol,2020,Big Five Euro,Espanyol,1.97,0.16,16.4,5.45,9.21
2020-Big Five Euro-Everton,2020,Big Five Euro,Everton,1.61,0.05,13.6,7.03,11.2
2020-Big Five Euro-Fiorentina,2020,Big Five Euro,Fiorentina,2.5,0.08,15.7,6.39,11.5
2020-Big Five Euro-Freiburg,2020,Big Five Euro,Freiburg,2.18,0.18,10.6,6.68,10.5
2020-Big Five Euro-Genoa,2020,Big Five Euro,Genoa,2.53,0.21,15.7,6.18,10.7
2020-Big Five Euro-Getafe,2020,Big Five Euro,Getafe,3.21,0.29,18.8,5.53,8.89
2020-Big Five Euro-Granada,2020,Big Five Euro,Granada,3.05,0.18,16.8,5.29,8.79
2020-Big Five Euro-Hellas Verona,2020,Big Five Euro,Hellas Verona,2.76,0.21,15.2,6.89,8.87
2020-Big Five Euro-Hertha BSC,2020,Big Five Euro,Hertha BSC,1.62,0.09,14.5,6.26,10.4
2020-Big Five Euro-Hoffenheim,2020,Big Five Euro,Hoffenheim,2.35,0.15,11.8,6.59,11.3
2020-Big Five Euro-Inter,2020,Big Five Euro,Inter,2.37,0.11,15.2,8,8.95
2020-Big Five Euro-Juventus,2020,Big Five Euro,Juventus,2.97,0.21,13.5,7.13,9.66
2020-Big Five Euro-Köln,2020,Big Five Euro,Köln,1.85,0.12,15.9,7.44,9.18
2020-Big Five Euro-Lazio,2020,Big Five Euro,Lazio,2.53,0.18,12.9,7.82,9.68
2020-Big Five Euro-Lecce,2020,Big Five Euro,Lecce,2.26,0.13,13,6.66,8.76
2020-Big Five Euro-Leganés,2020,Big Five Euro,Leganés,2.76,0.13,16.4,5.55,10.4
2020-Big Five Euro-Leicester City,2020,Big Five Euro,Leicester City,1.82,0.08,12.2,7.74,11.2
2020-Big Five Euro-Levante,2020,Big Five Euro,Levante,2.53,0.03,13.3,5.05,10
2020-Big Five Euro-Leverkusen,2020,Big Five Euro,Leverkusen,1.88,0.03,11.8,10.5,13
2020-Big Five Euro-Lille,2020,Big Five Euro,Lille,2.04,0.07,13.5,7.21,12.6
2020-Big Five Euro-Liverpool,2020,Big Five Euro,Liverpool,1.24,0,9.24,8.34,11.1
2020-Big Five Euro-Lyon,2020,Big Five Euro,Lyon,1.96,0.25,12.2,8.18,13.3
2020-Big Five Euro-M'Gladbach,2020,Big Five Euro,M'Gladbach,2.53,0.09,12.6,9.41,12.1
2020-Big Five Euro-Mainz 05,2020,Big Five Euro,Mainz 05,2.18,0.12,14.1,6.74,11.2
2020-Big Five Euro-Mallorca,2020,Big Five Euro,Mallorca,3.11,0.11,13.9,6.26,11.5
2020-Big Five Euro-Manchester City,2020,Big Five Euro,Manchester City,1.39,0.03,10.2,9.37,10.8
2020-Big Five Euro-Manchester Utd,2020,Big Five Euro,Manchester Utd,2.08,0.05,12.2,9.34,12.2
2020-Big Five Euro-Marseille,2020,Big Five Euro,Marseille,1.86,0.07,13.4,7.96,11.3
2020-Big Five Euro-Metz,2020,Big Five Euro,Metz,1.32,0.11,12.5,7.54,13
2020-Big Five Euro-Milan,2020,Big Five Euro,Milan,2.47,0.21,15,8.24,11.1
2020-Big Five Euro-Monaco,2020,Big Five Euro,Monaco,1.64,0,12.5,8.71,11.6
2020-Big Five Euro-Montpellier,2020,Big Five Euro,Montpellier,2.46,0.25,15.1,8.32,11
2020-Big Five Euro-Nantes,2020,Big Five Euro,Nantes,2.04,0.11,13.4,9.18,12.6
2020-Big Five Euro-Napoli,2020,Big Five Euro,Napoli,2.76,0.05,11.6,7.74,8.95
2020-Big Five Euro-Newcastle Utd,2020,Big Five Euro,Newcastle Utd,1.5,0.05,11.2,6.24,10.1
2020-Big Five Euro-Nice,2020,Big Five Euro,Nice,2.21,0.32,10.9,8.82,14.2
2020-Big Five Euro-Nîmes,2020,Big Five Euro,Nîmes,2.86,0.32,12.5,6.14,12.1
